.PU;0;;;;;;;
.V_base;13.8;;;;;;;
.S_base;5.68;;;;;;;
.Branch_count;216;;;;;;;
.Sectionalizing_count;201;;;;;;;
.Tie_count;15;;;;;;;
.Nodes;202;;;;;;;
.Feeders;1;;;;;;;
.Feder_node_ids;1;;;;;;;
.Branch;Src_bus;Rec_bus;R;X;PL_kw;QL_kvar;S_NS;.Feder_node_ids
126;180;183;0.005649;0.012696;850;526.7;1;
127;183;184;0.005649;0.012696;127.5;79.01;1;
128;184;185;0.005649;0.012696;510;316.02;1;
129;185;188;0.005649;0.012696;0;0;1;
130;188;191;0.022596;0.050784;255;158.01;1;
131;191;192;0.065387;0.03423;510;316.02;1;
132;191;193;0.046705;0.02445;382.5;237.02;1;
133;193;194;0.046705;0.02445;255;158.01;1;
134;194;195;0.046705;0.02445;191.25;118.51;1;
135;195;198;0.046705;0.02445;95.63;59.25;1;
136;198;199;0.112092;0.05868;382.5;237.02;1;
137;198;200;0.09341;0.0489;1030.2;638.36;1;
138;191;196;0.009415;0.02116;446.25;276.52;1;
139;196;197;0.009415;0.02116;133.88;82.96;1;
140;136;135;0.009415;0.02116;0;0;1;
141;131;132;0.069671;0.156584;0;0;1;
142;159;162;0.011298;0.025392;0;0;1;
143;145;146;0.074728;0.03912;63.75;39.5;1;
144;146;143;0.056046;0.02934;0;0;1;
145;149;148;0.046705;0.02445;63.75;39.5;1;
146;142;139;0.028023;0.01467;63.75;39.5;1;
147;155;151;0.037364;0.01956;63.75;39.5;1;
148;168;164;0.065387;0.03423;605.63;375.27;1;
149;173;175;0.074728;0.03912;208.25;129.04;1;
150;179;182;0.0607165;0.031785;127.5;79.01;1;
151;187;190;0.0504475;0.039559;448.38;277.83;1;
152;186;189;0.0385775;0.030251;127.5;79.01;1;
153;144;147;0.037364;0.01956;95.63;59.25;1;
154;1;201;0.0000001;0.00000001;0;0;1;
155;1;131;0.0000001;0.0000001;0;0;1;
156;132;133;0.0000001;0.0000001;0;0;1;
157;136;145;0.0000001;0.0000001;0;0;1;
158;143;144;0.0000001;0.0000001;0;0;1;
159;146;149;0.0000001;0.0000001;0;0;1;
160;136;137;0.0000001;0.0000001;63.75;39.5;1;
161;138;142;0.0000001;0.0000001;0;0;1;
162;150;155;0.0000001;0.0000001;0;0;1;
163;162;160;0.0000001;0.0000001;0;0;1;
164;160;161;0.0000001;0.0000001;95.63;59.25;1;
165;163;168;0.0000001;0.0000001;0;0;1;
166;167;169;0.0000001;0.0000001;63.75;39.5;1;
167;174;173;0.0000001;0.0000001;0;0;1;
168;178;180;0.0000001;0.0000001;0;0;1;
169;180;179;0.0000001;0.0000001;0;0;1;
170;188;186;0.0000001;0.0000001;0;0;1;
171;188;187;0.0000001;0.0000001;0;0;1;
172;6;7;0.0000001;0.00000001;0;0;1;
173;8;14;0.0000001;0.00000001;0;0;1;
174;8;13;0.0000001;0.00000001;0;0;1;
175;11;12;0.0000001;0.00000001;0;0;1;
176;20;21;0.0000001;0.00000001;255;158.01;1;
177;23;26;0.0000001;0.00000001;0;0;1;
178;33;36;0.0000001;0.00000001;0;0;1;
179;33;37;0.0000001;0.00000001;0;0;1;
180;23;25;0.0000001;0.00000001;0;0;1;
181;43;46;0.0000001;0.00000001;0;0;1;
182;43;47;0.0000001;0.00000001;0;0;1;
183;56;54;0.0000001;0.00000001;318.75;197.51;1;
184;1;57;0.0000001;0.0000001;0;0;1;
185;59;60;0.0000001;0.0000001;0;0;1;
186;63;64;0.0000001;0.0000001;0;0;1;
187;65;66;0.0000001;0.0000001;0;0;1;
188;61;62;0.0000001;0.0000001;0;0;1;
189;68;72;0.0000001;0.0000001;0;0;1;
190;73;76;0.0000001;0.0000001;0;0;1;
191;77;81;0.0000001;0.0000001;0;0;1;
192;77;88;0.0000001;0.0000001;0;0;1;
193;89;87;0.0000001;0.0000001;0;0;1;
194;89;91;0.0000001;0.0000001;191.25;118.51;1;
195;97;98;0.0000001;0.0000001;0;0;1;
196;100;102;0.0000001;0.0000001;0;0;1;
197;107;108;0.0000001;0.0000001;0;0;1;
198;112;111;0.0000001;0.0000001;0;0;1;
199;120;121;0.0000001;0.0000001;76.5;47.4;1;
200;120;122;0.0000001;0.0000001;255;158.01;1;
201;80;82;0.0000001;0.0000001;0;0;1;
202;2;134;0.0000001;0.0000001;0;0;0;
203;8;158;0.0000001;0.0000001;38.25;23.7;0;
204;15;170;0.0000001;0.0000001;127.5;79.01;0;
205;19;181;0.0000001;0.0000001;255;158.01;0;
206;23;192;0.0000001;0.0000001;510;316.02;0;
207;53;199;0.0000001;0.0000001;382.5;237.02;0;
208;201;57;0.0000001;0.0000001;0;0;0;
209;32;20;0.0000001;0.0000001;0;0;0;
210;55;39;0.0000001;0.0000001;255;158.01;0;
211;60;135;0.0000001;0.0000001;0;0;0;
212;106;160;0.0000001;0.0000001;0;0;0;
213;115;160;0.0000001;0.0000001;0;0;0;
214;163;124;0.0000001;0.0000001;255;158.01;0;
215;126;169;0.0000001;0.0000001;63.75;39.5;0;
216;130;200;0.0000001;0.0000001;1030.2;638.36;0;
